姓名,谷露候选人 ID,谷露详情链接,当前公司和职位,最近相关经历摘要,机器判断,原因代码,判断证据,来源搜索轮次,规则版本,机器判断时间,人工审核状态,人工备注
候选人乙,DEMO-demo-2,http://127.0.0.1/demo/demo-2,远航工业 / 区域销售经理,主导大型制造企业客户拓展与经销体系建设。,推荐,TARGET_EVIDENCE,目标证据：大型制造企业客户拓展,公司轮,2,2026-07-17 05:57:44,未审核,
候选人壬,DEMO-demo-9,http://127.0.0.1/demo/demo-9,宏达机械 / 行业销售,完成大型制造企业客户拓展并参与投标。,推荐,TARGET_EVIDENCE,目标证据：大型制造企业客户拓展,职位轮,2,2026-07-17 05:57:44,未审核,
候选人甲,DEMO-demo-1,http://127.0.0.1/demo/demo-1,启明制造 / 大客户销售总监,负责大型制造企业客户拓展，连续三年完成年度目标。,推荐,TARGET_EVIDENCE,目标证据：大型制造企业客户拓展,公司轮,2,2026-07-17 05:57:44,未审核,
候选人丁,DEMO-demo-4,http://127.0.0.1/demo/demo-4,华岳设备 / 销售经理,开拓装备制造客户并带领五人团队。,复核,MISSING_INFORMATION,现有信息不足以确认全部目标证据,公司轮,2,2026-07-17 05:57:44,未审核,
候选人丙,DEMO-demo-3,http://127.0.0.1/demo/demo-3,精工科技 / 商务经理,负责企业级解决方案销售和关键客户续约。,复核,MISSING_INFORMATION,现有信息不足以确认全部目标证据,公司轮,2,2026-07-17 05:57:44,未审核,
候选人己,DEMO-demo-6,http://127.0.0.1/demo/demo-6,未披露公司 / 销售经理,经历描述较少，客户类型和业绩信息缺失。,复核,MISSING_INFORMATION,现有信息不足以确认全部目标证据,职位轮,2,2026-07-17 05:57:44,未审核,
候选人庚,DEMO-demo-7,http://127.0.0.1/demo/demo-7,云端软件 / 客户成功经理,负责软件客户续费和使用培训，销售经历相邻。,复核,MISSING_INFORMATION,现有信息不足以确认全部目标证据,职位轮,2,2026-07-17 05:57:44,未审核,
候选人戊,DEMO-demo-5,http://127.0.0.1/demo/demo-5,新锐自动化 / 客户经理,负责工业客户需求分析与项目交付协同。,复核,MISSING_INFORMATION,现有信息不足以确认全部目标证据,公司轮,2,2026-07-17 05:57:44,未审核,
候选人癸,DEMO-demo-10,http://127.0.0.1/demo/demo-10,智造咨询 / 顾问,为制造企业提供增长咨询，具备可迁移行业经验。,复核,MISSING_INFORMATION,现有信息不足以确认全部目标证据,职位轮,2,2026-07-17 05:57:44,未审核,
候选人辛,DEMO-demo-8,http://127.0.0.1/demo/demo-8,连锁商贸 / 门店主管,仅零售门店销售，无企业客户项目经历。,排除,EXPLICIT_NEGATIVE,明确反证：仅零售门店销售,职位轮,2,2026-07-17 05:57:44,未审核,
